actual,predicted,predict_proba
B,Q,0.99842775
B,Q,0.26218385
B,O,0.9954697
B,Q,0.8151834
B,O,0.67183125
B,Q,0.6528584
B,S,0.74016595
B,O,0.81417835
B,Y,0.5518379
B,Q,0.77409047
B,O,0.61843145
B,Q,0.9837292
B,Q,0.81330734
B,Q,0.98439354
B,Y,0.47612178
B,Q,0.9973302
B,Q,0.99854916
B,H,0.6490771
B,Y,0.50032175
B,O,0.6343813
B,Q,0.88378304
B,Y,0.8340748
B,I,0.4809477
B,Q,0.9572257
B,Q,0.56494963
B,S,0.6296435
B,S,0.58285177
B,Q,0.7608697
B,Q,0.89699227
B,Q,0.6415341
B,Q,0.9937332
B,Q,0.9176869
B,O,0.568657
B,Y,0.8192646
B,O,0.846631
C,Q,0.6372957
C,Q,0.49759376
C,O,0.96278435
C,O,0.7860417
C,Y,0.71903104
C,S,0.8699094
C,Q,0.9898073
C,S,0.7059263
C,Q,0.9720346
C,Y,0.60006785
C,Q,0.37546542
C,Y,0.62514496
C,S,0.89853597
C,Q,0.9886735
C,Q,0.9992217
C,Q,0.9778079
C,O,0.95009315
C,O,0.80651283
C,Q,0.5539147
C,Q,0.64474523
C,Q,0.58812535
C,O,0.8392309
C,Q,0.8582165
C,Q,0.9943178
C,S,0.81188685
C,S,0.3631091
C,S,0.41781405
C,S,0.36528343
C,H,0.99965894
C,Q,0.9959045
C,Q,0.8957559
C,O,0.80232
C,S,0.36953434
C,Q,0.48834273
C,Q,0.6122853
C,Q,0.5455518
C,Q,0.65631986
C,Y,0.6114937
C,O,0.99571544
C,S,0.76078534
C,Q,0.8899453
C,Q,0.8045728
C,S,0.9172595
C,S,0.36444423
C,S,0.8416945
C,S,0.8919445
C,Q,0.99363554
C,Q,0.86733264
C,Y,0.6625142
C,S,0.8712757
C,Q,0.93899155
C,O,0.6523588
C,S,0.9380347
C,Q,0.5370836
C,Q,0.9370644
C,Q,0.89704984
C,S,0.94959927
C,Y,0.4840371
C,S,0.5431908
C,S,0.5908072
C,O,0.9958901
C,S,0.7372665
C,H,0.9996258
C,Q,0.80803245
C,S,0.7068894
C,Q,0.99864453
C,Q,0.82007515
C,Q,0.919032
C,S,0.9800118
C,Q,0.944544
C,Q,0.99952817
C,Q,0.5270172
C,Y,0.62656206
C,Q,0.63387096
C,S,0.8451727
C,Q,0.987837
C,O,0.6728413
C,S,0.33911273
C,Q,0.9954111
C,O,0.95781577
C,S,0.9307811
C,H,0.76791024
C,Y,0.66131204
C,S,0.9274142
C,Q,0.381529
C,Q,0.61711687
C,S,0.80718166
C,O,0.86069244
C,Q,0.8179546
C,Q,0.62092775
C,A,0.5240843
C,Q,0.9393808
C,S,0.9385545
C,Q,0.5625356
C,H,0.9409062
C,Q,0.70216364
C,I,0.453622
C,O,0.8872161
C,S,0.8717439
C,Q,0.9975673
C,Q,0.9018267
C,S,0.97650427
C,Q,0.9988279
C,S,0.7637002
C,S,0.91815746
C,Q,0.8401136
C,Q,0.9926186
C,Q,0.42501622
C,Q,0.59128773
C,Q,0.4893375
C,Q,0.99254215
C,S,0.5969094
C,Q,0.6551896
C,Q,0.98554176
C,S,0.8706516
C,O,0.99911755
C,Y,0.77078974
C,O,0.77136046
C,S,0.9103225
C,S,0.88323385
C,Q,0.39259762
C,O,0.6113307
C,S,0.81571996
C,O,0.66660094
C,S,0.87497103
C,Y,0.5274881
C,Q,0.96624607
C,S,0.8927809
C,Q,0.91083723
C,S,0.97092474
C,O,0.54782856
C,S,0.3477437
C,Q,0.7550125
C,S,0.96149945
C,S,0.8262634
C,Q,0.4930897
C,Q,0.6798287
C,Q,0.7249443
C,Q,0.44147724
C,Y,0.8471257
C,Q,0.359922
C,Q,0.43923426
C,O,0.9999962
C,S,0.94282764
C,S,0.7502037
C,S,0.9275398
C,Q,0.7461043
C,S,0.8129873
C,S,0.99036247
C,O,0.8620509
C,Q,0.7517719
C,Y,0.36920965
C,Q,0.95900506
C,Y,0.63491064
C,S,0.8698913
C,O,0.93464667
C,Q,0.7922564
C,O,0.36417958
C,Q,0.9988018
C,Q,0.407477
C,Q,0.9283833
C,O,0.51123035
C,Q,0.81684923
C,Q,0.4331167
C,S,0.6511272
C,Y,0.3327038
C,S,0.8153655
C,Y,0.65238
C,S,0.9396162
C,O,0.9795125
C,S,0.9160208
C,S,0.91017085
C,S,0.96565944
C,O,0.73582107
C,O,0.66686344
C,S,0.74594647
C,S,0.8171493
C,S,0.9342305
C,S,0.9328769
C,S,0.51535255
C,Y,0.44502816
C,S,0.92756814
C,S,0.8006565
C,Q,0.58496803
C,S,0.685856
C,Q,0.7922899
C,Q,0.953203
C,O,0.96687883
C,Y,0.61350566
C,S,0.4942795
C,Y,0.5107272
C,Q,0.8594931
C,S,0.8849874
C,O,0.9679336
C,Q,0.9892034
C,Q,0.9334611
C,Q,0.99255955
C,O,0.5852221
C,Q,0.9893401
C,S,0.92088264
C,Q,0.53706187
C,O,0.62345964
C,Q,0.9818131
C,Q,0.5808151
C,Q,0.63382524
C,S,0.8327674
C,O,0.88044
C,Y,0.3501756
C,Y,0.4971833
C,S,0.6855529
C,O,0.85272396
C,O,0.80661803
C,S,0.9135066
C,O,0.9823668
C,O,0.8026253
C,Y,0.53979504
C,S,0.5112035
C,O,0.9983187
C,Q,0.772885
C,S,0.9719501
C,O,0.8618544
C,O,0.7614884
C,Q,0.77087635
C,O,0.9033701
C,O,0.58639205
C,Q,0.66903985
C,S,0.9905978
C,S,0.94909805
C,O,0.5210827
C,O,0.9609524
C,Y,0.51574206
C,S,0.9150779
C,O,0.9384133
C,O,0.93992525
C,S,0.87476
C,S,0.5943963
C,Q,0.8681399
C,Q,0.6248428
C,Y,0.46935534
C,Q,0.70614153
C,O,0.40005508
C,Y,0.7030872
C,S,0.6996219
C,I,0.5237075
C,Q,0.90714115
C,S,0.98628265
C,S,0.5247978
C,Q,0.9039275
C,S,0.95019764
C,Q,0.9791252
C,S,0.93337137
C,S,0.6834365
C,Q,0.67290616
C,Q,0.4441377
C,S,0.81644166
C,S,0.8928964
C,Q,0.9827886
C,Q,0.9917203
C,I,0.61105525
C,Y,0.6073706
C,Q,0.63974935
C,Q,0.8372205
C,Q,0.96762085
C,Q,0.3713685
C,Y,0.5705704
C,Q,0.5748003
C,S,0.8787741
C,O,0.9966432
C,S,0.9805596
C,Y,0.47417966
C,S,0.4668659
C,S,0.94967645
C,Q,0.7117478
C,Q,0.5753422
C,Q,0.7233358
C,S,0.84177995
C,Q,0.93753695
C,O,0.61951494
C,Q,0.76824355
C,S,0.46353915
C,Q,0.4132106
C,O,0.93350816
C,Q,0.47166526
C,O,0.8454081
C,S,0.98406225
C,S,0.9348404
C,Q,0.98852366
C,O,0.64040536
C,Q,0.603045
C,Q,0.99894434
C,S,0.66864675
C,S,0.8725181
C,S,0.9422748
C,H,0.99948347
C,Q,0.94560933
C,Q,0.58890355
C,Q,0.5771926
C,Q,0.9689873
C,H,0.99983966
C,Q,0.6974073
C,Q,0.9828639
C,S,0.7360179
C,Y,0.49013638
C,S,0.9108495
C,Q,0.86772513
C,O,0.96898097
C,Q,0.77633554
C,Q,0.37883088
C,Q,0.8726387
C,Q,0.99991024
C,Q,0.8965659
C,Q,0.8948661
C,O,0.69086784
C,O,0.9199426
C,Q,0.94763833
C,Q,0.95908654
C,Y,0.65645295
C,O,0.36394545
C,S,0.82613444
C,Y,0.48235497
C,O,0.85802954
C,Y,0.3554781
C,S,0.71331257
C,Q,0.9789025
C,S,0.8973249
C,Q,0.78978544
C,H,0.903927
C,Q,0.43192548
C,Q,0.73294806
C,Q,0.9628043
C,Q,0.98535687
C,O,0.9568475
C,Q,0.63639545
C,S,0.96845937
C,O,0.8953318
C,O,0.9728838
C,Y,0.47938156
C,S,0.95888776
C,O,0.7325781
C,S,0.92708766
C,S,0.970204
C,Q,0.9991124
C,O,0.44485945
C,S,0.90684664
C,Q,0.7699588
C,Y,0.36943525
C,Q,0.97930235
C,Q,0.85664546
C,O,0.70400244
C,O,0.9209458
C,Q,0.9926795
C,Q,0.9216444
C,Q,0.7780316
C,S,0.7539755
C,S,0.96582973
C,Q,0.9343128
C,Q,0.40934363
C,S,0.76999956
C,S,0.9522919
C,Q,0.99071443
C,Q,0.6701783
C,S,0.98684233
C,S,0.8719664
C,Y,0.6685201
C,Y,0.34780887
C,Q,0.37245524
C,Q,0.7808014
C,Y,0.37748277
C,Q,0.38313544
C,O,0.96470934
C,S,0.9607543
C,Q,0.99955696
C,Q,0.91693705
C,O,0.9919693
C,S,0.92506677
C,O,0.68970686
C,Q,0.9533114
C,S,0.6669703
C,Q,0.97961056
C,S,0.63686574
C,Q,0.536368
C,S,0.55759734
C,Q,0.9955735
C,Q,0.9110435
C,Q,0.9698649
C,Q,0.9999672
C,Q,0.93736
C,Y,0.57459897
C,Y,0.7614089
C,Q,0.96176016
C,Y,0.38575855
C,H,0.9775354
C,Q,0.9506483
C,Q,0.99671185
C,Q,0.9845025
C,S,0.78762996
C,S,0.621074
C,Q,0.9904412
C,S,0.5218551
C,S,0.9246338
D,S,0.887787
D,S,0.4103267
D,S,0.8176811
D,S,0.88447744
D,S,0.9020867
D,S,0.5740886
D,Q,0.98685616
D,S,0.5006276
D,Q,0.36179283
D,S,0.8295719
D,Q,0.480012
D,S,0.91174644
D,Q,0.47372314
D,Q,0.6150595
D,S,0.5875141
D,S,0.8637065
D,S,0.7034028
D,Q,0.994044
D,S,0.88347423
D,S,0.946716
D,S,0.26246244
D,S,0.8733279
D,S,0.80817115
D,S,0.52475846
D,S,0.7982177
D,S,0.5210527
D,S,0.787438
D,S,0.70387983
D,S,0.93944794
D,Q,0.51403445
D,Q,0.87757134
D,S,0.44390902
D,Q,0.57108426
D,S,0.7802179
D,S,0.74882424
D,S,0.7837124
D,S,0.91232157
D,S,0.38153222
D,S,0.44248372
D,Q,0.9810029
D,Q,0.758844
D,S,0.52310395
D,S,0.45169348
D,Y,0.3551258
D,Q,0.9289088
D,S,0.9371448
D,Q,0.32242632
D,S,0.5231174
D,S,0.80691737
D,S,0.8128348
D,S,0.5755018
D,Q,0.59295386
D,Y,0.5927157
D,S,0.729575
D,S,0.7070564
D,Q,0.7821299
D,Q,0.6241921
D,Y,0.71808606
D,S,0.7620508
D,Q,0.47166455
D,Q,0.9004893
D,S,0.7077241
D,S,0.90586627
D,S,0.92057174
D,A,0.71106064
D,S,0.882998
D,S,0.90236956
D,S,0.8292207
D,S,0.31936797
D,Y,0.4308801
D,S,0.84234965
D,Q,0.36516225
D,Q,0.8982449
D,S,0.5000294
D,S,0.8669801
D,S,0.8774476
D,S,0.8269592
D,S,0.42153072
D,S,0.6762375
D,S,0.74013746
D,S,0.94996274
D,S,0.77033454
D,Y,0.64566755
D,S,0.7302933
D,S,0.9629325
D,S,0.7159888
D,S,0.7249827
D,S,0.7875095
D,Q,0.9240652
D,S,0.9278919
D,S,0.8690533
D,S,0.79098016
D,Q,0.303114
D,Q,0.90758866
D,S,0.80591196
D,S,0.42404386
D,Y,0.35025895
D,S,0.5069721
D,S,0.8489204
D,S,0.94286895
D,S,0.65927476
D,S,0.67751676
D,S,0.6126593
D,Y,0.5678703
D,S,0.8769962
D,S,0.6058692
D,Q,0.9510211
D,Q,0.947223
D,Q,0.6569462
D,Y,0.9456563
D,A,0.55905116
D,S,0.8481943
D,S,0.8309294
D,S,0.88549745
D,S,0.9748377
D,S,0.34009168
D,Q,0.62903273
D,S,0.6175346
D,S,0.9015904
D,Q,0.9268536
D,S,0.87164974
D,S,0.43094242
D,S,0.98293173
D,S,0.59634477
D,Q,0.8356329
D,Q,0.7283458
D,Q,0.43704626
D,S,0.77327055
D,Q,0.70079327
D,Q,0.2955169
D,S,0.78981566
D,S,0.845695
D,Q,0.922127
D,Y,0.8899414
D,Q,0.43430802
D,Y,0.5057711
D,S,0.755527
D,Y,0.70228714
D,Q,0.9323882
D,S,0.77777755
D,A,0.6124784
D,Q,0.9597828
D,S,0.7977469
D,S,0.83903867
D,Q,0.8809343
D,Q,0.54149127
D,Q,0.80771375
D,Q,0.925163
